turbo_host_name;datacenter_server_name;serial_number;comment
10.11.28.232;10.11.28.232;S4BQL917;
10.11.28.233;10.11.28.233;S4BQL961;
10.11.28.234;10.11.28.234;S4BQL962;
10.11.28.236;10.11.28.236;S4BQL959;
10.11.28.35;10.11.28.35;S4BQL960;
10.11.28.63;10.11.28.63;S4CHP187;
10.11.28.64;10.11.28.64;S4CHP188;
10.11.28.74;10.11.28.74;S4AVB135;
10.11.28.75;10.11.28.75;S4AVB136;
10.11.28.76;10.11.28.76;S4AVB137;
192.168.117.67;192.168.117.67;J100GVZ;
192.168.117.95;192.168.117.95;06CMY91;
192.168.117.96;192.168.117.96;06CMY88;
192.168.117.97;192.168.117.97;06CTHHZ;
192.168.117.98;192.168.117.98;06CTHKF;
192.168.117.99;192.168.117.99;06CTHKA;
esxgpu01.is.cesc.nca.ihost.com ;ESXGPU01;J304BNPK;
esxgpu02.is.cesc.nca.ihost.com ;ESXGPU02;J304BKBM;
esxgpu03.is.cesc.nca.ihost.com ;ESXGPU03;S4CPQ355;
esxpure101.is.cesc.nca.ihost.com;EsxPure101;06ZMBH5;
esxpure102.is.cesc.nca.ihost.com;EsxPure102;06ZMBH6;
esxpure103.is.cesc.nca.ihost.com;EsxPure103;06ZMBH7;
esxpure104.is.cesc.nca.ihost.com;EsxPure104;06ZMBH8;
esxpure105.is.cesc.nca.ihost.com;EsxPure105;06ZMBH9;
esxpure106.is.cesc.nca.ihost.com;EsxPure106;06ZLZV3;
esxpure107.nca.ihost.com;EsxPure107;06ZLZV4;
esxpure108.nca.ihost.com;EsxPure108;06LXHA3;
esxpure109.nca.ihost.com;EsxPure109;06XWMK7;
esxpure110.nca.ihost.com;EsxPure110;06LXHA4;
esxpure111.nca.ihost.com;EsxPure111;06YGZC7;
esxpure112.nca.ihost.com;EsxPure112;06TPXV8;
esxpure301.nca.ihost.com;ESXPURE301;23AWTE6;
esxpure302.nca.ihost.com;ESXPURE302;23AVYH3;
esxpure303.nca.ihost.com;ESXPURE303;23AWTE8;
esxpure304.nca.ihost.com;ESXPURE304;23AWVD5;
esxpure305.nca.ihost.com;ESXPURE305;23AWTM5;
esxpure306.nca.ihost.com;ESXPURE306;23ATMR6;
esxpure307.nca.ihost.com;ESXPURE307;23AWVE7;
esxpure308.nca.ihost.com;ESXPURE308;23AWTV8;
esxpure309.nca.ihost.com;ESXPURE309;06LXHA2;
esxpure310.nca.ihost.com;ESXPURE310;06MZMA5;
esxpure311.nca.ihost.com;ESXPURE311;06XWMY4;
esxpure312.nca.ihost.com;ESXPURE312;104277B;
esxpure313.nca.ihost.com;ESXPURE313;06XWMY3;
esxpure314.nca.ihost.com;ESXPURE314;06MZMA4;
esxpure401.nca.ihost.com;ESXPURE401;S4CPP303;
esxpure402.is.cesc.nca.ihost.com;ESXPURE402;J30A0XPM;
esxpure403.is.cesc.nca.ihost.com;ESXPURE403;J30A0XPN;
esxpure404.is.cesc.nca.ihost.com;ESXPURE404;J7006EH5;
esxpure405.is.cesc.nca.ihost.com;ESXPURE405;J7006ELC;
esxpure406.is.cesc.nca.ihost.com;ESXPURE406;J7006ELD;
esxpure407.is.cesc.nca.ihost.com;ESXPURE407;J7006ELE;
esxpure501.nca.ihost.com;ESXPURE501;S4BRV353;
esxpure502.nca.ihost.com;ESXPURE502;S4BRV354;
esxpure503.nca.ihost.com;ESXPURE503;S4BRV355;
esxpure504.is.cesc.nca.ihost.com;ESXPURE504;S4BRV356;
esxpure505.is.cesc.nca.ihost.com;ESXPURE505;S4CHM730;
esxpure506.is.cesc.nca.ihost.com;ESXPURE506;S4CHM731;
esxpure507.is.cesc.nca.ihost.com;ESXPURE507;S4CPP302;
esxpure511.is.cesc.nca.ihost.com;ESXPURE511;J30A0XPP;
esxpure512.is.cesc.nca.ihost.com;ESXPURE512;J30A0XPR;
esxpure513.is.cesc.nca.ihost.com;ESXPURE513;J303T16B;
esxpure514.nca.ihost.com;ESXPURE514;J303T16C;
esxsrv42.is.cesc.nca.ihost.com;esxsrv42.is.cesc.nca.ihost.com;J7004G2G;
esxsrv43.is.cesc.nca.ihost.com;esxsrv43.is.cesc.nca.ihost.com;J7004G2H;
esxsrv44.is.cesc.nca.ihost.com;esxsrv44.is.cesc.nca.ihost.com;J7004G2K;
esxsrv45.is.cesc.nca.ihost.com;esxsrv45.is.cesc.nca.ihost.com;J7004G2L;
esxsrv46.is.cesc.nca.ihost.com;esxsrv46.is.cesc.nca.ihost.com;J7004G2M;
esxsrv47.is.cesc.nca.ihost.com;esxsrv47.is.cesc.nca.ihost.com;J7004G2N;
esxsrvbc01.is.cesc.nca.ihost.com;NO;;paris
esxsrvbc02.is.cesc.nca.ihost.com;NO;;paris
172.19.32.250;SRV20-S4BQL918;;
172.19.0.151;SRV19-S4BQL919;;
192.168.117.157;NO;;disconnected
192.168.117.156;NO;;disconnected
192.168.117.65;NO;;disconnected